Enzyme,Time,absorbance
wt,0,1.666
wt,10,1.43
wt,30,1.339
wt,60,1.277
wt,120,1.19
wt,1320,1.191
mut,0,1.644
mut,10,1.653
mut,30,1.596
mut,60,1.549
mut,120,1.474
mut,1320,1.417
trzn,0,1.644
trzn,10,1.584
trzn,30,1.597
trzn,60,1.618
trzn,120,1.641
trzn,1320,1.772
control,0,1.612
control,10,1.684
control,30,1.717
control,60,1.759
control,120,1.797
control,1320,1.948
